photo_no,folder_name,filename,part_paper,folder_link
root,BRRI_Win2024_Field_Photos,,,https://drive.google.com/drive/folders/1RuTAClVee3t4AIWcLUUkFllufLXqHqqb
01,01_MAIN_FRAME,01_main_frame.jpg,MAIN FRAME,https://drive.google.com/drive/folders/1VLPm4InCDlgbWkAl86Z9Ioiqcu0Pg4g-
02,02_HOPPER,02_hopper.jpg,HOPPER,https://drive.google.com/drive/folders/1AHDugpT6SgzSkal4CcQ7w_pSUdG6F8IV
03,03_AIR_CONTROL_PLATE,03_air_control_plate.jpg,AIR CONTROL PLATE,https://drive.google.com/drive/folders/1Kw3kykMbfvog_-Jq43XpDNCKsPrI3aje
04,04_GRAIN_CONTROL_PLATE,04_grain_control_plate.jpg,GRAIN CONTROL PLATE,https://drive.google.com/drive/folders/1_EAPHwNpd5Mh5h82fbRK8-v3Kun-_KV7
05,05_BLOWER_UNITE,05_blower_unite.jpg,BLOWER UNITE,https://drive.google.com/drive/folders/172FW2hwcXTPpcFuRFemMLeLmrQDuv0LA
06,06_BLOWER_COVER,06_blower_cover.jpg,BLOWER COVER PLATE,https://drive.google.com/drive/folders/1jm9fXmaNC5bFKQilUDwo4Meuq0pMq_v8
07,07_AIR_OUTLET_CONTROL,07_air_outlet_control.jpg,AIR OUTLET CONTROL PLATE,https://drive.google.com/drive/folders/1ik1B7IBv2xAOlPP_FfNfz94SYdx1v-Jl
08,08_SIEVE,08_sieve.jpg,SIEVE (THREE TYPE),https://drive.google.com/drive/folders/1Ro37kxxYCbQin-dZYcTAdhKZ1Bbzy5SW
09,09_SIEVE_SHAFT,09_sieve_shaft.jpg,SIEVE SHAFT,https://drive.google.com/drive/folders/198T94YJUEDyKdL-Td194qSTqHF6Xyk3M
10,10_POWER_PULLEY_BELT,10_b65_marking.jpg,POWER PULLEY BELT (B65),https://drive.google.com/drive/folders/1K4max0OqE-NcZm-hkp-aNrh6XEzrTUL5
11,11_MOTOR,11_motor.jpg,MOTOR,https://drive.google.com/drive/folders/1RlalWgKPfoBImEu1y0ajPnf9ipueeJnS
12,12_MOTOR_PULLEY,12_motor_pulley.jpg,MOTOR PULLEY,https://drive.google.com/drive/folders/1iHfqXbiC-r3SxHPDtZFZ_aUz3VQTmRwA
13,13_BLOWER_PULLEY,13_blower_pulley.jpg,BLOWER PULLEY,https://drive.google.com/drive/folders/1-MXbUUIzaLoRXwR0zpv3AimCbWY6mmsh
14,14_PILLOW_BEARING_UCP206,14_pillow_bearing.jpg,PILLOW BEARING UCP206,https://drive.google.com/drive/folders/1vcn9quyhrUzpmk0w1-0k-B5FsIZ77GHT
15,15_BALL_BEARING_6302,15_ball_bearing.jpg,BALL BEARING-6302,https://drive.google.com/drive/folders/1t5UxZx3QIaPlOzTV_-YVgXMemTKtZy_n
16,16_BEARING_6203,16_bearing_6203.jpg,BEARING 6203 (sieve),https://drive.google.com/drive/folders/1rYV2iZAKHtHUEgizX5hSZCtgxVbHyk8S
17,17_GRAIN_OUTLET,17_grain_outlet.jpg,GRAIN OUTLET,https://drive.google.com/drive/folders/14VD2B7lDPHF6c6J2mFrB7SiSUfXGXsO8
18,18_WINNOWER_SHOW_COVER,18_show_cover.jpg,WINNOWER SHOW COVER,https://drive.google.com/drive/folders/1djG47lwZFUgu-uA2uH_d3kDI84a7TMh9
19,19_FULL_MACHINE_FRONT,19_full_front.jpg,Full machine — front,https://drive.google.com/drive/folders/1hPfXMkj2oznQfhaDjWTrBgCCouxWEEYR
20,20_FULL_MACHINE_SIDE,20_full_side.jpg,Full machine — side,https://drive.google.com/drive/folders/19kAW2h213yW-W6w01lwz9Q8zbmfPEhbN
